"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
4.5,1,0,0,1,1,0,0,0,1,1,0.466585485860095,1.06794377533888,1.31420274671574
4,0,0,0,1,1,0,0,0,1,1,0.956095310898214,0.416393225167193,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,0,0,0.805305709792967,-0.235157325004494,1.51837893022571
4.5,1,0,0,1,1,0,0,0,1,1,1.119287262648,1.06794377533888,1.70764296179172
4,1,0,0,1,1,0,0,0,1,1,0.846446542942004,1.06794377533888,1.54317809397584
4.5,0,0,0,1,1,0,0,0,1,1,0.875873115226754,0.416393225167193,-0.708533549793646
4.5,1,0,0,0,1,1,0,0,1,0,0.959875296557209,0.416393225167193,1.61155148409864
4.5,1,0,0,1,1,0,0,0,1,0,0.20668662468293,0.416393225167193,1.15753906434802
4,1,0,0,1,1,0,0,0,0,0,0.380301052657506,-0.235157325004494,1.26219160293733
4.5,1,0,0,1,1,0,0,0,1,0,1.15333453858476,0.416393225167193,1.72816622071899
3.5,0,0,1,1,0,0,1,0,0,0,-0.21113483639785,-0.235157325004494,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,1.18280251064307,-0.235157325004494,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,0.40381880186622,1.06794377533888,1.27636779892122
4.5,0,0,0,1,1,0,0,0,0,1,-0.749735849980688,-0.235157325004494,-0.708533549793646
5,1,0,0,1,1,0,0,0,1,1,0.0767681013306862,1.06794377533888,1.0792258536477
4.5,1,0,0,1,1,0,0,0,1,0,1.00150437699088,0.416393225167193,1.63664495701646
4.5,0,0,0,1,1,0,0,0,1,0,0.764084199376583,-0.235157325004494,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,1.1971834838199,-0.235157325004494,-0.708533549793646
5,0,0,0,1,1,0,0,0,1,0,0.819595562481334,-0.235157325004494,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,0,0.763756050505982,0.416393225167193,1.49333333135106
5,1,0,0,1,1,0,0,0,1,0,0.426922572765576,0.416393225167193,1.29029445411809
4.5,0,0,0,1,1,0,0,0,1,0,1.25113412063761,-0.235157325004494,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,0.675269679587456,-0.235157325004494,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,0.83148534351848,-0.235157325004494,-0.708533549793646
5,1,0,0,1,1,0,0,0,1,1,0.341274535030547,1.06794377533888,1.23866692132181
4.5,0,0,0,1,1,0,0,0,1,0,0.707155932751717,-0.235157325004494,-0.708533549793646
5,1,0,1,1,1,0,0,0,1,1,-0.00357868571089711,1.71949432551057,1.03079384641482
4.5,1,0,0,1,1,0,0,0,1,1,0.0261099744594495,1.06794377533888,1.04868978795833
4.5,0,0,0,1,1,0,0,0,1,1,-0.242234067350673,0.416393225167193,-0.708533549793646
5,0,1,1,1,1,1,1,0,1,0,-0.0270660193374664,2.37104487568226,-0.708533549793646
4,0,0,0,1,1,0,0,0,1,0,0.0246667833191505,-0.235157325004494,-0.708533549793646
4,1,0,0,0,1,1,0,0,1,1,1.07979167180937,1.06794377533888,1.68383552889246
4.5,0,0,1,0,1,1,0,0,1,1,0.877182179225909,1.06794377533888,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,0.964066350484514,1.06794377533888,1.61407779736635
4.5,0,0,0,1,1,0,0,0,1,0,-0.428615933029066,-0.235157325004494,-0.708533549793646
4.5,0,0,1,1,1,0,0,0,1,1,0.252657480795613,1.06794377533888,-0.708533549793646
3.5,0,0,0,1,0,1,0,0,0,0,0.26262119851914,-0.886707875176182,-0.708533549793646
3,0,0,0,0,0,0,1,1,1,0,-0.319508591314651,-0.235157325004494,-0.708533549793646
2.5,0,0,0,1,0,0,1,0,0,0,-0.400713706548299,-0.886707875176182,-0.708533549793646
4.5,1,0,0,0,1,1,0,0,1,1,1.17119445731511,1.06794377533888,1.7389319494429
4.5,0,0,0,1,1,0,0,0,1,1,1.09657381035791,0.416393225167193,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,1.47454634364853,-0.235157325004494,-0.708533549793646
5,1,0,0,1,1,0,0,0,1,1,0.70935735880393,1.06794377533888,1.46054250141271
4.5,1,0,0,1,1,0,0,0,1,0,1.12663416711508,0.416393225167193,1.7120715810731
4.5,1,0,0,0,1,1,0,0,1,0,1.47525601400126,0.416393225167193,1.92221633522727
4.5,0,0,1,1,1,0,0,0,1,1,0.372448572403268,1.06794377533888,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,0.592756187347827,-0.235157325004494,-0.708533549793646
5,0,0,0,1,1,0,0,0,1,0,1.19206510871611,-0.235157325004494,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,1,1.16094040812578,0.416393225167193,-0.708533549793646
4.5,1,0,1,1,1,0,0,0,1,1,-0.259819544006119,1.71949432551057,0.876335161017851
4.5,1,0,0,1,1,0,0,0,1,1,1.00252218136731,1.06794377533888,1.63725847637095
4.5,1,0,0,1,1,0,0,0,1,1,1.14131896462153,1.06794377533888,1.72092338766341
4,0,0,0,1,1,0,0,0,0,1,-0.729654390157189,-0.235157325004494,-0.708533549793646
4,1,0,1,1,1,0,0,0,1,0,0.473683430498647,1.06794377533888,1.31848129622258
3,0,0,0,0,0,0,1,1,0,0,0.62499434077384,-0.886707875176182,-0.708533549793646
5,1,1,1,1,1,1,1,0,1,0,0.00401083966993702,3.02259542585394,1.03536871445464
4.5,0,0,0,1,1,0,0,0,1,0,1.07944322861498,-0.235157325004494,-0.708533549793646
5,0,0,1,1,1,0,0,0,0,1,-0.864427146546174,0.416393225167193,-0.708533549793646
4,0,0,0,1,1,0,0,0,1,0,0.576298515489985,-0.235157325004494,-0.708533549793646
4,1,0,0,1,1,0,0,0,1,1,0.665771826878828,1.06794377533888,1.43426970476245
4.5,1,0,0,1,1,0,0,0,1,0,0.486439577567137,0.416393225167193,1.32617053719702
3.5,0,0,0,1,0,1,0,0,0,0,0.0921509827108194,-0.886707875176182,-0.708533549793646
3.5,0,0,1,1,1,0,0,0,0,0,-0.129983346544391,-0.235157325004494,-0.708533549793646
4,0,0,1,1,1,0,0,0,1,1,-1.26449490252257,1.06794377533888,-0.708533549793646
2.5,0,0,0,1,0,1,0,0,0,0,0.0304146532029464,-0.886707875176182,-0.708533549793646
4.5,1,1,0,1,1,1,1,0,1,0,1.3532994769448,2.37104487568226,1.84870250720377
5,1,0,0,1,1,0,0,0,1,0,0.837183944868971,0.416393225167193,1.53759471928985
4.5,0,0,0,1,1,0,0,0,1,0,0.882125513023378,-0.235157325004494,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,1.18010379400626,1.06794377533888,1.74430238272286
5,0,0,1,1,1,0,0,0,1,1,-0.0254653046693781,1.06794377533888,-0.708533549793646
5,0,0,0,1,1,0,0,0,1,0,0.504430153701988,-0.235157325004494,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,1.30682116264714,-0.235157325004494,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,-0.164666351184477,1.06794377533888,0.933692278740358
4.5,1,0,0,0,1,1,0,0,1,0,1.49556033424322,0.416393225167193,1.93445551766412
5,0,0,0,1,0,1,0,0,1,0,1.03097744324253,-0.235157325004494,-0.708533549793646
4,1,0,1,1,1,0,0,0,0,0,-0.208821040176861,0.416393225167193,0.90707640154868
4,1,0,1,1,0,1,0,0,1,0,0.370285349093251,1.06794377533888,1.25615426597182
4.5,0,0,1,1,1,0,0,0,1,1,0.455745446093714,1.06794377533888,-0.708533549793646
4,1,0,1,1,1,0,0,0,1,0,0.551300915815661,1.06794377533888,1.36526811556765
4.5,1,0,0,1,1,0,0,0,1,1,1.18576840694146,1.06794377533888,1.74771693836037
4.5,0,0,1,1,0,1,0,0,1,1,1.20224985201604,1.06794377533888,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,1,-0.0975567137395014,0.416393225167193,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,0,1.09115579096906,0.416393225167193,1.69068567339236
4.5,0,0,1,0,1,1,0,0,1,0,0.994940765099567,0.416393225167193,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,0.297261665257774,1.06794377533888,1.21213653092709
4.5,0,0,0,1,1,0,0,0,0,0,-0.785113960018029,-0.886707875176182,-0.708533549793646
4,0,0,1,1,1,0,0,0,1,0,0.461194923186773,0.416393225167193,-0.708533549793646
4,1,1,0,1,1,1,1,0,1,0,0.787473916182264,2.37104487568226,1.50763015496128
4,0,0,0,1,1,0,0,0,0,0,-0.691766130743744,-0.886707875176182,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,0,-0.340103585624539,0.416393225167193,0.827940975917012
4.5,1,0,0,1,0,0,1,0,0,0,-1.08857033571837,-0.235157325004494,0.376774869730925
3,0,0,0,1,1,0,0,0,0,0,-0.587852633124779,-0.886707875176182,-0.708533549793646
2.5,0,0,0,0,1,1,0,0,0,0,-0.313777238662571,-0.886707875176182,-0.708533549793646
5,1,0,0,1,1,0,0,0,1,0,0.708624629515744,0.416393225167193,1.46010082164564
5,0,0,1,1,1,0,0,0,1,1,0.729448452628777,1.06794377533888,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,0,1.01675517807855,0.416393225167193,1.64583794326746
5,0,0,0,1,1,0,0,0,1,0,0.987661479747955,-0.235157325004494,-0.708533549793646
4.5,0,0,1,1,1,0,0,0,1,0,0.13910063449967,0.416393225167193,-0.708533549793646
4.5,0,0,1,1,1,0,0,0,1,0,0.611368734970007,0.416393225167193,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,1,0.276767457678546,0.416393225167193,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,1,0.267973187549856,0.416393225167193,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,1,-0.192918301256318,0.416393225167193,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,0.83148534351848,1.06794377533888,1.53415967587385
4.5,1,0,0,1,1,0,0,0,1,1,0.47777771196162,1.06794377533888,1.32094927629657
5,1,0,0,0,1,1,0,0,1,0,-0.3906401883639,0.416393225167193,0.797478163407395
4.5,1,0,0,1,1,0,0,0,1,0,0.134483729376256,0.416393225167193,1.11401609004516
4,0,0,1,1,1,0,0,0,0,0,0.288824540252902,-0.235157325004494,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,1,0.795238355085363,0.416393225167193,-0.708533549793646
4,0,0,0,1,0,0,1,0,1,1,1.00999004856857,0.416393225167193,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,0.174573165655972,1.06794377533888,1.13818148531923
3.5,0,0,0,1,1,0,0,0,0,0,-0.68572215139864,-0.886707875176182,-0.708533549793646
4.5,0,0,0,0,1,1,0,0,1,1,0.86258990587494,0.416393225167193,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,0.484144419586628,-0.235157325004494,-0.708533549793646
3.5,0,0,0,1,1,0,0,0,1,1,0.151581022317466,0.416393225167193,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,0.121562289936883,1.06794377533888,1.10622721296084
4,0,0,0,1,1,0,0,0,1,1,0.89212135815039,0.416393225167193,-0.708533549793646
3.5,0,0,0,0,0,1,1,0,1,0,0.373167566314268,-0.235157325004494,-0.708533549793646
3,0,0,1,1,0,1,0,0,0,0,0.213660475298573,-0.235157325004494,-0.708533549793646
4.5,0,0,0,0,0,1,1,0,1,1,1.10459202842018,0.416393225167193,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,1.04105480287739,-0.235157325004494,-0.708533549793646
