"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
4,0,0,0,1,0,1,0,0,0,0,8.05484022110102,2,0
3.5,0,0,0,1,1,0,0,0,0,0,5.2257466737132,2,0
4,0,0,0,1,1,0,0,0,1,1,6.48920493132532,4,0
4,1,0,0,1,1,0,0,0,0,1,5.91079664404053,4,5.91079664404053
3.5,0,0,0,0,1,1,0,0,0,0,7.31920245876785,2,0
4.5,0,1,0,1,1,1,1,0,0,0,4.21950770517611,5,0
4,0,0,0,0,0,0,0,0,0,0,6.54678541076052,0,0
3.5,0,0,0,0,1,1,0,0,0,0,5.61312810638807,2,0
4.5,0,0,0,1,1,0,0,0,0,0,5.03695260241363,2,0
2.5,0,0,0,1,0,1,0,0,0,0,5.37989735354046,2,0
2.5,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0
4.5,0,0,0,1,1,0,0,0,1,0,8.05547514175727,3,0
4.5,1,0,0,1,1,0,0,0,1,1,8.50815244676409,5,8.50815244676409
4.5,1,0,0,0,1,1,0,0,1,0,8.42046200245647,4,8.42046200245647
4.5,0,0,0,1,1,0,0,0,1,1,6.33505425149806,4,0
4,1,0,0,1,1,0,0,0,1,1,5.37063802812766,5,5.37063802812766
4.5,1,0,0,0,1,1,0,0,1,0,7.42595365707754,4,7.42595365707754
5,0,0,1,1,1,0,0,0,1,0,6.56667242980324,4,0
5,1,0,1,1,1,0,0,0,1,0,6.0137151560428,5,6.0137151560428
4,1,0,0,1,1,0,0,0,0,0,6.10924758276437,3,6.10924758276437
4.5,0,0,0,0,1,1,0,0,1,1,4.26267987704132,4,0
4.5,0,0,0,1,1,0,0,0,1,1,5.37989735354046,4,0
4.5,1,0,0,1,1,0,0,0,1,1,6.69826805411541,5,6.69826805411541
4.5,0,0,0,1,1,0,0,0,0,0,4.20469261939097,2,0
4.5,0,0,0,1,1,0,0,0,1,1,4.89034912822175,4,0
4.5,0,0,1,1,0,0,1,0,0,0,6.72142570079064,3,0
3,0,0,0,1,1,0,0,0,0,0,5.33271879326537,2,0
3.5,0,0,0,1,1,0,0,0,1,1,5.53338948872752,4,0
4,1,0,0,0,1,1,0,0,1,0,7.41155628781116,4,7.41155628781116
3.5,0,0,1,1,1,0,0,0,0,1,5.97888576490112,4,0
4,0,0,0,1,1,0,0,0,0,0,4.80402104473326,2,0
3.5,0,0,0,1,1,0,0,0,0,0,6.64248680136726,2,0
4.5,1,1,0,1,1,1,1,0,1,0,8.04366335239394,7,8.04366335239394
3,0,0,0,1,1,0,0,0,0,0,3.61091791264422,2,0
3,0,0,0,0,0,0,1,0,0,0,4.969813299576,1,0
2.5,0,0,0,1,0,1,0,0,0,0,4.59511985013459,2,0
2.5,0,0,0,1,0,0,0,0,0,0,4.06044301054642,1,0
